STATES,L-2015,L-2016,L-2017,L-2018,L-2019,L-2020,L-2021,L-2022,L-2023,L-2024,P-2015,P-2016,P-2017,P-2018,P-2019,P-2020,P-2021,P-2022,P-2023,P-2024
Andhra Pradesh,122605.8,147935.2,254283,229333.8,264451,307671.5,353021,380548.5,428715.7,485490.8,88015095.72,88895246.67,89784199.14,90682041.13,91588861.54,92504750.16,93429797.66,94364095.64,95307736.59,96260813.96
Arunachal Pradesh,6164.8,5717.1,5669.6,6968.7,8430.5,12125.1,14077.4,15924.6,18850.4,21654.2,1439911.865,1454310.984,1468854.093,1483542.634,1498378.061,1513361.841,1528495.46,1543780.414,1559218.218,1574810.401
Assam,35459.1,41963.7,44036.5,49309.8,59796.4,73527.8,89709.1,102366.3,126281.4,150900.4,32472647.52,32797374,33125347.74,33456601.21,33791167.22,34129078.9,34470369.69,34815073.38,35163224.12,35514856.36
Bihar,99398.6,116774.8,139069.3,156980.5,169045.4,193534.3,227425.9,257634.7,293850.5,319618.3,108326307.2,109409570.3,110503666,111608702.6,112724789.7,113852037.5,114990557.9,116140463.5,117301868.1,118474886.8
Chhattisgarh,31088.4,39264.9,43397,55049.5,68981.5,86005.7,100016.1,106451.1,109664.1,122164.1,26582435.48,26848259.83,27116742.43,27387909.85,27661788.95,27938406.84,28217790.91,28499968.82,28784968.51,29072818.19
Goa,14086.9,15650.9,16903.1,18641.9,20500.2,22645.7,26612.6,29209.2,30743.2,34758.4,1517767.776,1532945.454,1548274.908,1563757.657,1579395.234,1595189.186,1611141.078,1627252.489,1643525.014,1659960.264
Gujarat,202510.9,231505.4,243357.3,268263.2,298755.1,329351.8,363647,388582.8,421018.2,467464.4,62893785.86,63522723.72,64157950.95,64799530.46,65447525.77,66102001.03,66763021.04,67430651.25,68104957.76,68786007.34
Haryana,92667.4,123854.1,149412.3,167262.1,187635.8,219245.9,246279,279453.3,305586.9,336253,26380833.02,26644641.35,26911087.76,27180198.64,27452000.62,27726520.63,28003785.84,28283823.7,28566661.93,28852328.55
Himachal Pradesh,38182.4,41197.3,47244.4,51030.4,54303.3,62218.4,68896,73541.4,86639.2,94992.2,7143332.368,7214765.692,7286913.349,7359782.482,7433380.307,7507714.11,7582791.251,7658619.164,7735205.355,7812557.409
Jharkhand,43742,57049.1,67349.8,77585.7,83878.2,94504.5,109270.6,113568.1,118855.5,131455.6,34327584.52,34670860.37,35017568.97,35367744.66,35721422.11,36078636.33,36439422.69,36803816.92,37171855.09,37543573.64
Karnataka,158370.2,185698.4,211169.1,245950.6,286328.7,338665.7,421503.8,503987.7,535408.1,597618.4,63576011.05,64211771.16,64853888.87,65502427.76,66157452.04,66819026.56,67487216.82,68162088.99,68843709.88,69532146.98
Kerala,143556.8,162271.5,191622.9,216499.4,243745.7,267585.4,310856.2,360036.9,389312.3,429270.6,34762481.03,35110105.85,35461206.9,35815818.97,36173977.16,36535716.93,36901074.1,37270084.84,37642785.69,38019213.55
Madhya Pradesh,108753.3,127714.1,156065.7,173137,195178.3,211489,290859.3,325193,365624.4,418056,75575748.68,76331506.17,77094821.23,77865769.44,78644427.13,79430871.41,80225180.12,81027431.92,81837706.24,82656083.3
Maharashtra,321806.2,351440.8,396001,432479.4,438841.8,480955.2,548348.2,606407.1,653197,722887.3,116937181.5,118106553.4,119287618.9,120480495.1,121685300,122902153,124131174.6,125372486.3,126626211.2,127892473.3
Manipur,7391.5,8146.7,8831.4,9564.9,10463,11405.8,13060.5,15334,17376.4,19245.8,2832270.208,2860592.91,2889198.839,2918090.827,2947271.736,2976744.453,3006511.898,3036577.017,3066942.787,3097612.215
Meghalaya,6912.1,7524.6,9244.2,10157.5,11348.4,12320.7,14704.9,16927.6,18845.1,20029.9,3087356.591,3118230.157,3149412.458,3180906.583,3212715.649,3244842.805,3277291.233,3310064.145,3343164.787,3376596.435
Mizoram,7007.8,7076.1,6680.5,7547,7638.7,9001.4,10217.1,10953.7,12880,14039.3,1141756.963,1153174.533,1164706.278,1176353.341,1188116.875,1199998.043,1211998.024,1224118.004,1236359.184,1248722.776
Nagaland,7946.2,8923.4,9562.2,10399.2,11639.5,13836.1,15254,15834.5,17085.2,18165.8,2058837.115,2079425.486,2100219.741,2121221.938,2142434.158,2163858.499,2185497.084,2207352.055,2229425.576,2251719.832
Odisha,50877.6,65217.9,71984.4,103065.7,105685.1,143800.3,141239.6,139002.4,129872.9,120986.9,43678539.57,44115324.96,44556478.21,45002042.99,45452063.42,45906584.06,46365649.9,46829306.4,47297599.46,47770575.46
Punjab,112393.2,134130.2,182584,195174.1,211940.1,229629.9,259266,284923.2,316346.1,351130.2,28869828.77,29158527.06,29450112.33,29744613.46,30042059.59,30342480.19,30645904.99,30952364.04,31261887.68,31574506.55
Rajasthan,148090.6,209861.4,255472.1,281663.1,311853.6,353182,411001.4,463832.8,499529,562494.9,71331778.42,72045096.21,72765547.17,73493202.64,74228134.67,74970416.01,75720120.17,76477321.37,77242094.59,78014515.53
Sikkim,3499.9,4338.3,4688.5,5910.9,6850.4,7954,9655.7,11482.2,13331.4,15529.5,635368.8746,641722.5634,648139.789,654621.1869,661167.3988,667779.0727,674456.8635,681201.4321,688013.4464,694893.5809
Tamil Nadu,185610.6,228516.1,283620.2,326636,401503.8,462201.8,568892.7,667974.9,741497.7,834543.5,75076488.73,75827253.61,76585526.15,77351381.41,78124895.23,78906144.18,79695205.62,80492157.68,81297079.25,82110050.05
Telangana,72658.1,90523.4,81820.9,160296.3,190202.7,225418,271259,314852.9,352061,389672.5,36425302.77,36789555.79,37157451.35,37529025.87,37904316.12,38283359.29,38666192.88,39052854.81,39443383.35,39837817.19
Tripura,9327.2,10354.1,11851.5,13383.7,15085.5,18178.9,21490.5,22438.6,23360.5,26505.8,3823092.763,3861323.69,3899936.927,3938936.296,3978325.659,4018108.916,4058290.005,4098872.905,4139861.634,4181260.251
Uttar Pradesh,314072.1,385337.1,473348.2,517584.9,567777,549559.2,600109.5,646321.3,693577.1,769245.3,207925523.3,210004778.5,212104826.3,214225874.6,216368133.3,218531814.7,220717132.8,222924304.1,225153547.2,227405082.6
Uttarakhand,34036.8,40291.5,44508,53071.1,59386.6,67544.7,75248.9,78952.1,80120.4,89466,10495835.9,10600794.26,10706802.2,10813870.22,10922008.93,11031229.02,11141541.31,11252956.72,11365486.29,11479141.15
West Bengal,277318.2,314741.6,337610.7,371071.5,404735.9,445790.4,497266.1,548235.9,596725.2,658426.2,94982291.29,95932114.2,96891435.34,97860349.69,98838953.19,99827342.72,100825616.2,101833872.3,102852211,103880733.1
Jammu and Kashmir,48224.8,55106.3,61969.2,67887.3,78776.6,88719.2,55753.8,68108.9,73175,77487.9,13050529.15,13181034.44,13312844.79,13445973.24,13580432.97,13716237.3,13853399.67,13991933.67,14131853,14273171.53
NCT Delhi,32497.9,33303.9,33344.8,3326.4,3406.4,3631.4,9496.4,15689.1,14225.2,19184.9,17469598.72,17644294.71,17820737.66,17998945.04,18178934.49,18360723.83,18544331.07,18729774.38,18917072.12,19106242.84
Puducherry,7013,7800.1,15856.8,7263.6,8604.2,9016.5,10561.6,12410,12371.8,13215.1,1298624.896,1311611.145,1324727.257,1337974.529,1351354.274,1364867.817,1378516.495,1392301.66,1406224.677,1420286.924